Chinese name,code name,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,Pictorial ID,ZukanIndexSuffix,Size,rarity,Element 1,Element 2,GenusCategory,Organization,weapon,WeaponEquip,HP,melee attack,Remote attack,defense,support,CraftSpeed,(being) damage multiplier,Capture probability,Experience multiplier,price,AIRResponse,AISightResponse,slow walking speed,walking speed,running speed,Riding sprint speed,Handling speed,IsBoss,IsTowerBoss,BattleBGM,IgnoreLeanBack,IgnoreBlowAway,MaxFullStomach,FullStomachDecreaseRate,FoodAmount,ViewingDistance,ViewingAngle,HearingRate,NooseTrap,Nocturnal,BiologicalGrade,Predator,Edible,endurance,Male probability,fecundity,Breathing fire,watering,planting,generate electricity,manual,collection,logging,Mining,OilExtraction (not shown in game),pharmaceutical,cool down,carry,pasture,Passive skill 1,Passive skill 2,Passive skill 3,Passive skill 4
does not appear in the game,BOSS_BadCatgirl,PAL_NAME_BadCatgirl,BOSS_NAME_BadCatgirl,PARTNERSKILL_BadCatgirl,TRUE,EPalTribeID::BadCatgirl,BOSS_BadCatgirl,-1,,XL,0,Dark,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,4690,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,None,None,None,None
炎魔羊,BOSS_Baphomet,PAL_NAME_Baphomet,BOSS_NAME_Baphomet,PARTNERSKILL_Baphomet,TRUE,EPalTribeID::Baphomet,BOSS_Baphomet,-1,,XL,4,Fire,Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,150,100,85,100,100,20%,70%,10,4780,Boss,None,80,160,700,960,320,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,590,1,0,0,0,2,0,0,1,0,0,0,2,0,None,None,None,None
暗魔羊,BOSS_Baphomet_Dark,PAL_NAME_Baphomet_Dark,BOSS_NAME_Baphomet_Dark,PARTNERSKILL_Baphomet_Dark,TRUE,EPalTribeID::Baphomet_Dark,BOSS_Baphomet_Dark,-1,,XL,5,Dark,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,150,105,85,100,100,20%,70%,10,4870,Boss,None,80,160,700,960,320,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,580,0,0,0,0,2,0,0,1,0,0,0,2,0,None,None,None,None
喵丝特,BOSS_Bastet,PAL_NAME_Bastet,BOSS_NAME_Bastet,PARTNERSKILL_Bastet,TRUE,EPalTribeID::Bastet,BOSS_Bastet,-1,,S,1,Dark,None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,60,70,100,100,40%,70%,10,1000,NotInterested,None,52,105,475,550,317,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,1480,0,0,0,0,0,0,0,0,0,0,0,0,1,None,None,None,None
冰丝特,BOSS_Bastet_Ice,PAL_NAME_Bastet_Ice,BOSS_NAME_Bastet_Ice,PARTNERSKILL_Bastet_Ice,TRUE,EPalTribeID::Bastet_Ice,BOSS_Bastet_Ice,-1,,S,2,Ice,None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,65,70,100,100,20%,70%,10,1010,NotInterested,None,52,105,475,550,317,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1440,0,0,0,0,0,0,0,0,0,0,1,0,1,None,None,None,None
does not appear in the game,BOSS_BeardedDragon,PAL_NAME_BeardedDragon,BOSS_NAME_BeardedDragon,PARTNERSKILL_BeardedDragon,TRUE,EPalTribeID::BeardedDragon,BeardedDragon,-1,,XL,0,Dragon,None,EPalGenusCategoryType::Dragon,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,9970,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,600,1,9,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
灌木羊,BOSS_BerryGoat,PAL_NAME_BerryGoat,BOSS_NAME_BerryGoat,PARTNERSKILL_BerryGoat,TRUE,EPalTribeID::BerryGoat,BOSS_BerryGoat,-1,,M,3,Leaf,None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,70,70,90,120,100,40%,70%,10,2510,NotInterested,None,70,70,400,550,235,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,930,0,0,2,0,0,0,0,0,0,0,0,0,1,None,None,None,None
烽歌龙,BOSS_BirdDragon,PAL_NAME_BirdDragon,BOSS_NAME_BirdDragon,PARTNERSKILL_BirdDragon,TRUE,EPalTribeID::BirdDragon,BOSS_BirdDragon,-1,,XL,4,Fire,Dark,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,100,115,90,100,100,20%,70%,10,4360,Boss,None,100,350,700,950,475,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,TRUE,9,TRUE,TRUE,150,50,660,1,0,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None
霜歌龙,BOSS_BirdDragon_Ice,PAL_NAME_BirdDragon_Ice,BOSS_NAME_BirdDragon_Ice,PARTNERSKILL_BirdDragon_Ice,TRUE,EPalTribeID::BirdDragon_Ice,BOSS_BirdDragon_Ice,-1,,XL,5,Ice,Dark,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,100,120,95,100,100,20%,70%,10,4610,Boss,None,100,350,700,950,475,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,TRUE,9,TRUE,TRUE,150,50,620,0,0,0,0,0,0,0,0,0,0,2,3,0,None,None,None,None
混沌骑士,BOSS_BlackCentaur,PAL_NAME_BlackCentaur,BOSS_NAME_BlackCentaur,PARTNERSKILL_BlackCentaur,TRUE,EPalTribeID::BlackCentaur,BOSS_BlackCentaur,-1,,XL,20,Dark,None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,260,100,145,120,100,100,10%,70%,10,8930,Boss,None,100,350,900,1600,625,TRUE,FALSE,EPalBattleBGMType::Legend,FALSE,FALSE,600,1,9,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,70,0,0,0,0,0,0,2,2,0,0,0,0,0,Legend,ElementBoost_Dark_2_PAL,None,None
does not appear in the game,BOSS_BlackFurDragon,PAL_NAME_BlackFurDragon,BOSS_NAME_BlackFurDragon,PARTNERSKILL_BlackFurDragon,TRUE,EPalTribeID::BlackFurDragon,BOSS_BlackFurDragon,-1,,XL,10,Dark,Dragon,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,130,100,130,110,100,100,20%,70%,10,8440,Boss,None,55,110,560,800,335,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,525,1,8,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None
异构格里芬,BOSS_BlackGriffon,PAL_NAME_BlackGriffon,BOSS_NAME_BlackGriffon,PARTNERSKILL_BlackGriffon,TRUE,EPalTribeID::BlackGriffon,BOSS_BlackGriffon,-1,,XL,10,Dark,None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,120,130,120,140,90,100,20%,70%,10,9060,Boss,None,80,80,850,1300,465,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,525,1,8,25,90,1,FALSE,TRUE,9,FALSE,TRUE,250,50,60,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
魔渊龙,BOSS_BlackMetalDragon,PAL_NAME_BlackMetalDragon,BOSS_NAME_BlackMetalDragon,PARTNERSKILL_BlackMetalDragon,TRUE,EPalTribeID::BlackMetalDragon,BOSS_BlackMetalDragon,-1,,XL,9,Dragon,Dark,EPalGenusCategoryType::Monster,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,125,125,100,100,20%,70%,10,8200,Boss,None,100,150,600,900,375,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,600,1,9,25,90,1,FALSE,TRUE,9,FALSE,TRUE,300,50,150,0,0,0,0,1,0,0,4,3,0,0,0,0,Deffence_up1,None,None,None
does not appear in the game,BOSS_BlueberryFairy,PAL_NAME_BlueberryFairy,BOSS_NAME_BlueberryFairy,PARTNERSKILL_BlueberryFairy,TRUE,EPalTribeID::BlueberryFairy,BOSS_BlueberryFairy,-1,,XL,0,Leaf,Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,8200,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,2,0,1,2,0,0,0,3,0,1,0,None,None,None,None
碧海龙,BOSS_BlueDragon,PAL_NAME_BlueDragon,BOSS_NAME_BlueDragon,PARTNERSKILL_BlueDragon,TRUE,EPalTribeID::BlueDragon,BOSS_BlueDragon,-1,,XL,7,Water,Dragon,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,FALSE,110,70,100,100,100,100,20%,70%,10,5600,Boss,None,75,150,600,900,350,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,500,0,3,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
冲浪鸭,BOSS_BluePlatypus,PAL_NAME_BluePlatypus,BOSS_NAME_Blueplatypus,PARTNERSKILL_BluePlatypus,TRUE,EPalTribeID::Blueplatypus,BOSS_Blueplatypus,-1,,M,1,Water,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,60,80,80,60,100,100,40%,77%,10,1120,NotInterested,None,70,105,300,400,202,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1330,0,1,0,0,1,0,0,0,0,0,0,1,0,None,None,None,None
草莽猪,BOSS_Boar,PAL_NAME_Boar,BOSS_NAME_Boar,PARTNERSKILL_Boar,TRUE,EPalTribeID::Boar,BOSS_Boar,-1,,XL,1,Earth,None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,100,70,70,100,100,40%,70%,10,1610,Boss,None,70,150,450,800,300,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,1130,0,0,0,0,0,0,0,1,0,0,0,0,0,None,None,None,None
does not appear in the game,BOSS_BrownRabbit,PAL_NAME_BrownRabbit,BOSS_NAME_BrownRabbit,PARTNERSKILL_BrownRabbit,TRUE,EPalTribeID::BrownRabbit,BOSS_BrownRabbit,-1,,XL,0,Earth,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,2350,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,2,2,0,1,1,0,0,1,0,None,None,None,None
企丸王,BOSS_CaptainPenguin,PAL_NAME_CaptainPenguin,BOSS_NAME_CaptainPenguin,PARTNERSKILL_CaptainPenguin,TRUE,EPalTribeID::CaptainPenguin,BOSS_CaptainPenguin,-1,,XL,6,Water,Ice,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,70,95,95,100,100,40%,70%,10,5410,Boss,None,50,110,450,600,280,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,525,1,8,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,520,0,2,0,0,2,0,0,2,0,0,2,2,0,None,None,None,None
green leaf rat,BOSS_Carbunclo,PAL_NAME_Carbunclo,BOSS_NAME_Carbunclo,PARTNERSKILL_Carbunclo,TRUE,EPalTribeID::Carbunclo,BOSS_Carbunclo,-1,,S,1,Leaf,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,70,70,70,100,100,40%,63%,10,1010,NotInterested,None,20,40,400,550,250,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1430,0,0,1,0,1,1,1,0,0,1,0,0,0,None,None,None,None
cat bat monster,BOSS_CatBat,PAL_NAME_CatBat,BOSS_NAME_CatBat,PARTNERSKILL_CatBat,TRUE,EPalTribeID::CatBat,BOSS_CatBat,-1,,XL,5,Dark,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,100,95,80,100,100,40%,70%,10,3810,Boss,None,80,140,400,550,270,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,750,0,0,0,0,0,2,0,2,0,0,0,2,0,None,None,None,None
dark witch cat,BOSS_CatMage,PAL_NAME_CatMage,BOSS_NAME_CatMage,PARTNERSKILL_CatMage,TRUE,EPalTribeID::CatMage,BOSS_CatMage,-1,,XL,6,Dark,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,100,105,90,100,100,20%,70%,10,4120,Boss,None,70,145,440,620,292,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,700,0,0,0,0,2,0,0,0,0,2,0,2,0,None,None,None,None
Night Mephit,BOSS_CatVampire,PAL_NAME_CatVampire,BOSS_NAME_CatVampire,PARTNERSKILL_CatVampire,TRUE,EPalTribeID::CatVampire,BOSS_CatVampire,-1,,XL,6,Dark,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,105,110,110,100,20%,70%,10,2100,Boss,None,60,100,550,700,325,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,1010,0,0,0,0,0,0,0,0,0,3,0,0,0,None,None,None,None
Pipi Chicken,BOSS_ChickenPal,PAL_NAME_ChickenPal,BOSS_NAME_ChickenPal,PARTNERSKILL_ChickenPal,TRUE,EPalTribeID::ChickenPal,BOSS_ChickenPal,-1,,M,1,Normal,None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,60,70,60,60,100,100,40%,105%,10,1000,NotInterested,None,50,50,375,550,212,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1500,0,0,0,0,0,1,0,0,0,0,0,0,1,None,None,None,None
Fried egg bird,BOSS_ColorfulBird,PAL_NAME_ColorfulBird,BOSS_NAME_ColorfulBird,PARTNERSKILL_ColorfulBird,TRUE,EPalTribeID::ColorfulBird,BOSS_ColorfulBird,-1,,XL,1,Normal,None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,60,80,75,70,100,100,40%,70%,10,1090,Boss,None,30,60,300,550,170,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,1340,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
Boba Cow,BOSS_CowPal,PAL_NAME_CowPal,BOSS_NAME_CowPal,PARTNERSKILL_CowPal,TRUE,EPalTribeID::CowPal,BOSS_CowPal,-1,,M,2,Normal,None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,100,50,80,100,100,20%,70%,10,2620,NotInterested,None,55,55,580,700,317,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,20,910,0,0,0,0,0,0,0,0,0,0,0,0,1,None,None,None,None
幻悦蝶,BOSS_CuteButterfly,PAL_NAME_CuteButterfly,BOSS_NAME_CuteButterfly,PARTNERSKILL_CuteButterfly,TRUE,EPalTribeID::CuteButterfly,BOSS_CuteButterfly,-1,,XL,4,Leaf,None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,100,80,80,100,100,20%,70%,10,5700,NotInterested,None,30,150,550,700,350,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,490,0,0,2,0,0,0,0,0,0,1,0,0,0,None,None,None,None
玉藻狐,BOSS_CuteFox,PAL_NAME_CuteFox,BOSS_NAME_CuteFox,PARTNERSKILL_CuteFox,TRUE,EPalTribeID::CuteFox,BOSS_CuteFox,-1,,M,2,Normal,None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,70,70,140,100,40%,91%,10,1000,NotInterested,None,30,60,350,450,190,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1450,0,0,0,0,0,1,0,0,0,0,0,0,1,None,None,None,None
遁地鼠,BOSS_CuteMole,PAL_NAME_CuteMole,BOSS_NAME_CuteMole,PARTNERSKILL_CuteMole,TRUE,EPalTribeID::CuteMole,BOSS_CuteMole,-1,,M,1,Earth,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,65,100,80,50,100,100,40%,70%,10,1360,NotInterested,None,30,60,300,550,240,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1220,0,0,0,0,1,0,0,1,0,0,0,1,0,None,None,None,None
黑鸦隐士,BOSS_DarkCrow,PAL_NAME_DarkCrow,BOSS_NAME_DarkCrow,PARTNERSKILL_DarkCrow,TRUE,EPalTribeID::DarkCrow,BOSS_DarkCrow,-1,,XL,3,Dark,None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,80,95,80,100,100,20%,70%,10,1840,Boss,None,85,170,920,1200,545,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,1080,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
does not appear in the game,BOSS_DarkMutant,PAL_NAME_DarkMutant,BOSS_NAME_DarkMutant,PARTNERSKILL_DarkMutant,TRUE,EPalTribeID::DarkMutant,BOSS_DarkMutant,-1,,XL,5,Dark,None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,3960,Boss,None,100,150,550,700,350,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,525,1,8,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,0,0,0,0,0,3,0,0,0,0,3,0,2,0,None,None,None,None
